"y","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
1,-0.00214424981831251,0.00888826552737964,-0.000808075530876393,0.0250179399040767,0.0138494068030632,0.00693333949464798,-0.00778903079325589,-0.0203249984930137,0.0128625354102004,0.00645692015265423
0,-0.0143386726992983,-0.012245683325626,-0.0198853067609252,-0.0146565080362161,-0.01378553946084,0.0143709324723269,0.0257438398970655,0.0414946719876165,0.0343006654710499,0.0315620116723888
1,-0.00886586693838443,0.027836872586693,0.0248568747911186,0.0321552271889897,0.0144328142888851,0.00185159623716297,0.00710024479792723,0.0291901664996002,-0.00339350737031953,-0.00757540810105448
0,-0.0076281862619734,-0.00767488768734261,-0.00482344969149795,-0.0227365504682356,-0.00855650615603015,-0.0202429942190271,-0.0164904138254321,-0.0150649026682436,-0.0138679340799298,-0.0422804437713439
0,0.0170469776992062,0.00831754199452485,0.0100807424174666,-0.0420142512818049,-0.0232083197482919,-0.0396279944936193,0.000476026806858541,0.00203793190648295,-0.0148577062736863,0.00442206286503014
0,-0.00675049880667027,0.00275173436466531,-0.00471221706623907,-0.00924799888089425,-0.0296341415403963,-0.00579871192142173,-0.0101531410412313,-0.0103901898979446,-0.0326598747350142,-0.0171249551353714
1,0.0298161374358556,0.0105559957846156,-0.00857439780224631,0.021492110120113,0.0385233338512983,0.0372745994632499,0.00465202578880726,-0.0142851972746519,-0.00162167387862917,-0.0154035837997699
1,0.00591790104401584,0.00802551721911101,0.0209069646679321,0.0157346036810403,-0.000836098845081714,-0.0121577154256939,0.029042166640653,0.0165157019547014,0.021222826096281,-0.00674978850448797
1,-0.00727246014887577,-0.00473028073825155,-0.0217783073014177,0.0290864592045261,-0.0270796634486349,-0.00780633286527812,-0.000957016519009321,0.0144683955771593,0.0108469367556581,-0.0143370474785518
0,-0.0323042717470302,-0.0146318829728845,0.0174911917240026,0.0287872538010925,0.0160176264796648,-0.00607941528982185,-0.00879044851261995,-0.0173405213880612,-0.023710991769458,-0.0347757298844347
1,-0.0050849397334463,0.00777796459903124,0.00284481704656805,-0.02732884609932,0.0121909273546809,0.0292627189246708,0.017571469347123,0.0278995182786449,0.00410163007924925,-0.0105546019527387
1,0.00408389976313599,-0.0109850391479067,0.0255323596973196,0.0010773238360293,-0.0236919417368479,0.00772778643461149,0.00147133183209662,-0.00118118791203055,-0.00850610204632506,0.0106765085650281
0,-0.0116454090757708,-0.0206741725281159,-0.0314150119370812,-0.0180287772798466,-0.0155690099281306,-0.0348271135195018,-0.0145320486248626,0.0072102789611863,0.00448648914034185,0.0131805681885156
1,0.0259476926154027,0.0274860917217564,0.0207022049775416,0.031154115195992,0.0119681726310644,-0.00125147159275318,-0.00885563700863542,-0.0429489108557743,-0.00701095053617448,0.0216169058345099
1,-0.0288867076929112,0.0200872159259812,0.0342098992104798,0.0103578218016657,-0.00735653952522573,-0.00692346805656858,0.0237175838031107,0.0259273384279508,0.0394215649133718,0.0319315101091171
0,-0.00340582650626304,-0.0202182256295878,-0.0410871282674463,-0.0147669911310792,0.00524003598967661,0.00537784931559947,-0.00160933156074358,-0.0157310285554692,0.00718203067156366,0.0231983083853561
0,-0.015187020078885,-0.00709865472465499,-0.012895356226916,-0.00976689745640113,-0.0155996707579746,-0.0151532064674029,-0.011379630816858,-0.0424380850999601,-0.0467489220871553,-0.0105494620971085
