"names","vals"
"Intercept",-17.9604446961782
"y",0.542495400877669
"V1",0.327960012946278
"V2",0.765314521500841
"V3",0.201187530998141
"V4",0.559053746052086
"V5",0.0136380798649043
"V6",0.058926121564582
"V7",0.300181389786303
"V8",0.419931823154911
"V9",0.00346896308474243
"V10",3.82737888395786
"V11",2.83281200844795
"V12",3.18620112445205
"V13",2.2143278773874
"V14",3.9668759778142
"V15",4.9259892879054
"V16",2.81674962490797
"V17",4.20716991275549
"V18",1.07808903977275
"V19",4.39579356089234
