"names","vals"
"Intercept",-13.9242878914124
"y",0.525160522898659
"V1",0.180588389281183
"V2",0.894792265724391
"V3",0.9862419385463
"V4",0.632454061880708
"V5",0.0609739124774933
"V6",0.391474295640364
"V7",0.90434894990176
"V8",0.0775996765587479
"V9",0.731467255856842
"V10",1.82786667905748
"V11",1.27348827943206
"V12",1.45984522718936
"V13",1.67406418640167
"V14",4.57892863638699
"V15",2.00163346156478
"V16",3.46884974930435
"V17",1.86838212329894
"V18",2.78343570232391
"V19",2.49828837718815
