"names","vals"
"Intercept",1.01592623619462
"V1",3.99865825194865
"V2",4.45767306350172
"V3",1.18230227660388
"V4",1.3099129665643
"V5",3.72294043749571
"V6",4.89346275571734
"V7",1.99625798687339
"V8",4.05891854502261
"V9",4.92063733469695
"V10",4.15235735289752
"V11",1.19791127834469
"V12",1.9590586014092
"V13",4.18441773857921
"V14",4.32949268817902
"V15",4.17192398384213
"V16",2.55376028455794
"V17",4.96501561626792
"V18",3.76995536591858
"V19",4.50988154765218
"V20",1.32062562089413
"V21",1.42085100058466
"V22",4.0391876231879
"V23",4.04821408353746
"V24",3.35508674196899
"V25",1.43942777160555
"V26",2.46721695549786
"V27",2.2766263410449
"V28",4.24871597066522
"V29",3.27696172613651
"V30",3.77947794180363
"V31",1.28226338606328
"V32",3.54786930885166
"V33",4.01061846408993
"V34",4.00661231298
"V35",1.53288396261632
"V36",1.17822498455644
"V37",1.01016025710851
"V38",3.17676756903529
"V39",4.8389534028247
"V40",4.71781603060663
"V41",2.15633181575686
"V42",3.04610274638981
"V43",2.17701433412731
"V44",4.05554671213031
"V45",1.09759004227817
"V46",2.86776962224394
"V47",1.79048641771078
"V48",1.48623132705688
"V49",4.72869824618101
"V50",4.98097849730402
"V51",0
"V52",0
"V53",0
"V54",0
"V55",0
"V56",0
"V57",0
"V58",0
"V59",0
"V60",0
"V61",0
"V62",0
"V63",0
"V64",0
"V65",0
"V66",0
"V67",0
"V68",0
"V69",0
"V70",0
"V71",0
"V72",0
"V73",0
"V74",0
"V75",0
"V76",0
"V77",0
"V78",0
"V79",0
"V80",0
"V81",0
"V82",0
"V83",0
"V84",0
"V85",0
"V86",0
"V87",0
"V88",0
"V89",0
"V90",0
"V91",0
"V92",0
"V93",0
"V94",0
"V95",0
"V96",0
"V97",0
"V98",0
"V99",0
"V100",0
