"names","vals"
"Intercept",0.867404738391974
"V1",1.94884045515209
"V2",2.73824825230986
"V3",1.71492186654359
"V4",2.72621395159513
"V5",4.76240464765579
"V6",2.99782850313932
"V7",2.68291819281876
"V8",4.05866982322186
"V9",3.54933117888868
"V10",1.45117167383432
"V11",1.23666127678007
"V12",2.79447954613715
"V13",4.71705653145909
"V14",3.25080977194011
"V15",4.64120538625866
"V16",4.99688899517059
"V17",4.77887644153088
"V18",2.38988123927265
"V19",3.40227088239044
"V20",3.02267282642424
"V21",3.08775097969919
"V22",4.45067243650556
"V23",1.48269612994045
"V24",2.38073668442667
"V25",2.08888659439981
"V26",0
"V27",0
"V28",0
"V29",0
"V30",0
"V31",0
"V32",0
"V33",0
"V34",0
"V35",0
"V36",0
"V37",0
"V38",0
"V39",0
"V40",0
"V41",0
"V42",0
"V43",0
"V44",0
"V45",0
"V46",0
"V47",0
"V48",0
"V49",0
"V50",0
