"names","vals"
"Intercept",-79.8769356502476
"y",0.446772371884435
"V1",0.61476583359763
"V2",0.235471321735531
"V3",0.191261319676414
"V4",0.511263358406723
"V5",0.773279112530872
"V6",0.581967859296128
"V7",0.615407324396074
"V8",0.248338603880256
"V9",0.0607561026699841
"V10",0.530817593447864
"V11",0.682602288667113
"V12",0.929468978894874
"V13",0.38557470520027
"V14",0.883884205948561
"V15",0.474133210023865
"V16",0.796706310706213
"V17",0.751632419414818
"V18",0.403487215517089
"V19",0.464319070801139
"V20",0.0593303199857473
"V21",0.255406015086919
"V22",0.979051361326128
"V23",0.47248987457715
"V24",0.145415240665898
"V25",0.692544979508966
"V26",0.879182332661003
"V27",0.714388826396316
"V28",0.386394019471481
"V29",0.383863383205608
"V30",0.116480039432645
"V31",0.433389346115291
"V32",0.381464377278462
"V33",0.6598346515093
"V34",0.439316126983613
"V35",0.332326193107292
"V36",0.308199999621138
"V37",0.35928513831459
"V38",0.0953721925616264
"V39",0.642997909802943
"V40",0.720298941014335
"V41",0.320666077546775
"V42",0.641681235050783
"V43",0.00232960912398994
"V44",0.724714406300336
"V45",0.60760991438292
"V46",0.0360149985644966
"V47",0.308311233995482
"V48",0.885566050652415
"V49",0.323623209493235
"V50",0.87846317444928
"V51",1.63153911125846
"V52",0.498419452924281
"V53",1.62987898802385
"V54",4.2408378305845
"V55",2.44057368952781
"V56",0.894490543287247
"V57",1.15819184458815
"V58",4.79379302822053
"V59",1.5453758824151
"V60",0.250254472484812
"V61",2.99910609843209
"V62",1.50240383576602
"V63",0.681916064349934
"V64",3.56237683910877
"V65",4.70817127614282
"V66",3.41889320989139
"V67",0.52755155833438
"V68",4.12231008987874
"V69",2.08279961720109
"V70",2.05267477314919
"V71",3.70267981430516
"V72",3.3445407752879
"V73",4.21507244813256
"V74",2.11584528675303
"V75",2.34304321347736
"V76",1.75220040953718
"V77",3.37630155961961
"V78",0.276136752218008
"V79",3.23458591126837
"V80",1.31880918517709
"V81",0.994866465916857
"V82",3.01599459955469
"V83",1.02998312795535
"V84",2.50157433794811
"V85",2.72847573505715
"V86",3.92404886195436
"V87",1.85556664131582
"V88",2.18589316122234
"V89",4.99765209271573
"V90",1.77781837410294
"V91",3.54308693669736
"V92",4.83979840646498
"V93",3.92879656981677
"V94",2.41414912743494
"V95",3.10203773784451
"V96",2.93746633571573
"V97",4.30786119773984
"V98",4.69422695459798
"V99",3.83446786203422
