"names","vals"
"Intercept",-23.7574540164606
"y",0.995396750280634
"V1",0.661198610905558
"V2",0.952418922446668
"V3",0.109245961299166
"V4",0.645054374588653
"V5",0.228801767807454
"V6",0.124216329306364
"V7",0.0789218957070261
"V8",0.736782646970823
"V9",0.179545275401324
"V10",0.0719269153196365
"V11",0.751363739836961
"V12",0.460403982782736
"V13",0.863875226583332
"V14",0.460185124538839
"V15",0.345534722320735
"V16",0.886518129147589
"V17",0.44722095108591
"V18",0.830790444044396
"V19",0.190079896477982
"V20",0.937985872616991
"V21",0.486000740900636
"V22",0.0286751601379365
"V23",2.63762766844593
"V24",3.98698090226389
"V25",1.49935087305494
"V26",3.4718236757908
"V27",0.0205227627884597
"V28",2.65285764238797
"V29",2.69822328933515
"V30",4.30176334804855
"V31",1.43690459080972
"V32",0.970207512145862
"V33",0.116379830287769
"V34",2.24105916568078
"V35",4.49487174279056
"V36",3.17439568811096
"V37",2.32954809442163
"V38",0.946899044793099
"V39",1.66972862323746
"V40",1.50425853324123
